Mississippi	6
Oklahoma	2
Delaware	6
Minnesota	2
Illinois	38
Arkansas	3
New Mexico	21
Indiana	7
Louisiana	19
Texas	43
Wisconsin	4
Kansas	5
Connecticut	10
Virgin Islands	4
California	440
West Virginia	4
Georgia	20
North Dakota	1
Pennsylvania	33
Alaska	3
Missouri	8
South Dakota	3
Colorado	16
New Jersey	57
Washington	107
New York	186
Nevada	25
Maryland	9
Idaho	0
Wyoming	6
Arizona	36
Iowa	5
Michigan	16
Utah	24
Virginia	19
Oregon	15
Montana	7
New Hampshire	1
Massachusetts	27
South Carolina	8
Vermont	9
Florida	35
Kentucky	6
Rhode Island	4
Nebraska	4
Ohio	17
Alabama	11
North Carolina	16
Tennessee	14
Maine	7
